DescriptionArea;Response
 Hallo, ich wollte in Chronos f�r n�chstes Jahr eintragen, leider erhalte ich die Fehlermeldung (siehe Anhang). Liegt ein Systemfehler vor bzw. könnt ihr mir hier bitte weiterhelfen? ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Guten Morgen, ich wollte mich soeben krank melden, von gestern Mi bis einschließlich Freitag. Also kleiner als 3 Tage. Leider erlaubt mir das System diese Eintragung nicht. Ist dies ein technischer Fehler? ;Hi, sick leave (<) smaller than 3 days can only be entered that very day or in the past and only for 3 consecutive days.
 Hi, I saw that I did not correctly fill out start of business trip in office / at home. Is tehere a possibility to change this afterwards? It seems to be greyed out.;Hi, changes to Chronos can only be done up to 6 weeks in the past.
 Dear colleagues of the Service Hub Team,  I just encountered, that the holidays of next year are not yet available, although the error message states, that they should in quarter 4.  My problem is, that thus I’m blocked requesting holiday in the first week of january.  Could you please tell me, when the holidays will be available to request or if I encounter a user specific problem?  ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hello, is there a possibility to export the data from Chronos? When Chronos was introduced I remember that an export function was planned, but until I can’t see it in the tool. The export of the data is helpful as a proof, e.g. towards the tax authority. , ;"Chronos currently does not have an export function unfortunately, but we are working on it. As proof of your office days and days in mobile work, feel free to use your January statement from the following year. Here is a breakdown of exactly how many days you have worked remotely.

You can call up your statements in our self-service. Here you can find the link: Meine Bescheinigungen (vw.vwg)"
 Hi, I was doing the on call work. Looking at the documentation on on call activities I have to fill in the time when I actively worked on certain topics during this time, but I cannot enter the time in Chronos without entering the “Work type“. None of the available types are applicable to this activity. How should I proceed with that? ;HR Operations Task: On Call Duty
 Ich würde gerne Urlaub  nehmen, kann das aber im Tool nicht eintragen weil der Zeitraum bereits vorausgefüllt is (zeitraum wird automatisch eingetragen und kann nicht verändert werden).  ;"Please cancel your planned annual leave days by navigating to the ""request"" / ""Antr�ge"" tab and create a new request for annual leave."
 Bis wann wird das Jahresurlaubskontingent 2025 in Chronos verfügbar sein, so dass Urlaubsanträge für 2025 möglich sind? Das System lässt das leider aktuell immer noch nicht zu, und verweist auf das 4. Quartal (siehe Screenshot im Anhang).  ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hallo, ich habe am 1.10 meinen ersten Tag gehabt. Für alle Tage aus meiner ersten Woche werden die kompletten eingetragenen Stunden als Überstunden berechnet, und die normale Arbeitszeit nicht abgezogen.  ;Hi, could you kindly just delete the very first entries in Chronos for that month (they might have been automatically pre-filled by the system itself) and re-enter your working hours? Chronos will then automatically adjust the flexi-time balance accordingly.
"  together! How I can find the number of ""office days"" in the last year (for tax declaration)? , ";"Chronos currently does not have an export function unfortunately, but we are working on it. As proof of your office days and days in mobile work, feel free to use your January statement from the following year. Here is a breakdown of exactly how many days you have worked remotely.

You can call up your statements in our self-service. Here you can find the link: Meine Bescheinigungen (vw.vwg)"
 Good Morning ,  will like to change my working model time  from documentation recording on chronus to time based recording. Please any help on how to go about this?  ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo, meine gesamten Stunden aus den ersten Arbeitstagen scheinen falsch verrechnet worden zu sein und wurden direkt auf das Gleitzeitkonto gebucht.;Hi, could you kindly just delete the very first entries in Chronos for that month (they might have been automatically pre-filled by the system itself) and re-enter your working hours? Chronos will then automatically adjust the flexi-time balance accordingly.
 Hallo, leider habe ich keinen Zugang mehr zu Chronos und dem Leadership Cockpit.  Ich bitte um Prüfung, ob ich die nötigen Rechte irgw. verloren habe. . ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hi zusammen, ich wollte heute meine Stunden in Chronos eintragen und da ist mir aufgefallen, dass ich nur noch zwischen 3 Varianten auswählen kann und nicht, wie noch letzte Woche, die realen Stunden eintragen kann. Könnt ihr mir bitte sagen, wie ich die Stunden wieder “real” eintragen kann? ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 When will the vacations for next year be added? Q4 started already.  ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 ,  ich habe noch 10 Urlaubstage aus dem Vorjahr und möchte diese gerne im Januar nehmen (nach Rücksprache mit meiner Führungskraft). Leider lässt mich das System Chronos diese aber nicht im Januar buchen und verweist auf fehlendes Kontingent für n�chstes Jahr. ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hallo zusammen, mir wird in  eine falsche Anzahl an Urlaubstagen angezeigt (s. Anhang). Eigentlich habe ich einen Urlaubsanspruch für letztes Jahr von Tagen. Aktuell stehen in  jedoch weniger Tage;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hello, i tried to book holiday from dezember till january. ´t work cause of 2 mistakes -holiday for next year is just bookable from 4. quarter   -less holiday days;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 , mein Chronos Zugang funktioniert noch nicht. Muss ich etwas für die Chronos Aktivierung bestätigen oder kann ich de Aktivierung beschleunigen? Vielen Dank für die Rückmeldung im Voraus. ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 , als ich letzte Woche meine Arbeitszeit eingetragen habe, bekam ich (wieder) den Fehler, dass mein Gleitzeitkonto bei der Eingabe überschritten werden würde. Allerdings nur bei manchen Tagen. Andere Tage gingen hingegen problemlos. Mir fehlen jetzt noch ein paar Stunden, die ich nicht Eintragen konnte (auch nicht an anderen Tagen).   ihr mal reinschauen? Ist leider nicht das erste mal, dass ich das Problem habe.;Hi, das ist so gesehen kein Fehler von Chronos, sondern bedeutet lediglich, dass du in dem Betrachtungszeitraum insgesamt die 70h Grenze rei�en w�rdest. Z.B. wenn du vor der Gleitzeit nahe an der 70h Obergrenze bist und Chronos daher keine Stundenverteilung in diesem Zeitraum erlaubt. Daher bitte immer zeitnah erfassen.
 Hallo, da  die Anträge/Anfragen nicht mehr bearbeiten kann, nun über diesen Weg. Ich bin aktuell krank und habe den Urlaubstag  mit krank�berschrieben, konnte den Urlaubstag aber nicht stornieren. Es stehen immer noch die gleichen Urlaubstage da und daraus sind nciht mehr Urlaubstage geworden.  ;"Beim Thema ""Krankheit w�hrend Urlaub"" ist folgendes wichtig:

""Bei Krankheit im Urlaub muss ab dem ersten Kalendertag im CARIDIAN Service Hub eine Arbeitsunf�higkeitsbescheinigung (auf Deutsch oder Englisch) vorgelegt werden, damit die Urlaubstage dem Urlaubskontingent wieder gutgeschrieben werden k�nnen. ""

Sick leave - Cariad Net - Group Wiki (vw.vwg)"
 , I have an issue planning my Christmas vacation for this year.  I had days of vacation for this year. Now I still have days left and wanted to book them for the two Christmas weeks in December and January. The message I received was, “I need days but only have days left” and that “the vacation days for next year will be available in Q4”  ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hallo, ich habe gerade versucht Urlaubstage einzutragen und dabei kam die Fehlermeldung auf.  Mache ich hier etwas falsch oder gibt es momentan Probleme mit dem System? ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Good morning the chronos link no longer works for me.  ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo HR-Team, aus unerklärlichen Gründen wird mir bei , die “Dokumentation” und nicht die “Zeiterfassung” angezeigt. Wozu beide Varianten existieren ist mir leider unklar. Mir ist jetzt nur bewusst, dass ich keine genauen Arbeitszeiten eintragen kann.  K�nnt  ihr bitte bei mir in  den Modus wieder auf Zeiterfassung wechseln? ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hi zusammen,  die Einstellung in meinen Chronos ist wohl automatisch zu Dokumentation  gewechselt.  Das hatte ich nicht selber bestätigt.  Leider kann ich erst zum sp�teren Zeitpunkt in die Zeiterfassung  umstellen.   Wäre es möglich, dass die  jetzt oder ab November wieder als Zeiterfassung gestellt wird?  vg ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo zusammen, ich habe bei Cariad angefangen und von meiner alten Firma Tage mitgenommen. Ich sehe aber irgendwie Urlaubsanspruch für Jahr Tage.  Nicht falsch verstehen, das gefällt mir sehr gut aber ich kann mir es nicht vorstellen  Könnt ihr das bitte überprüfen? ;HR Operations Task: check mismatch annual leave days
 Dear HR Team, In Chronos it was showing me that I have extra vacation days from the previous year. I am not sure where these extra days of holidays coming from. I started working at Cariad from , I used my vacation days in my previous company and I am sure I also sent you the information regarding my remaining holidays on the day of joining (I submitted the letter from my previous company).  Can you please check whether that information is added to my profile? Note: I also spent remaining days of holidays in the last year itself.;HR Operations Task: check mismatch annual leave days
 , i have no access to Chronos and HR Platform. ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo, ich habe aus Versehen in Chronos von Zeiterfassung auf Dokumentation geklickt und nun steht dass der Wechsel zum  vollzogen wird. Ich habe eine email erhalten, dass der Wechsel zum normalen Modus erst nach 6 Monaten möglich ist. Ich will das aber nicht, ich möchte den normalen Zeiterfassung Modus weiterbehalten. ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo zusammen,  meine eingetragenen Urlaubstage in Chronos sind nicht mehr ersichtlich.  Könnt ihr diese bitte Nachtragen: Im Zeitraum müsste  eingetragen werden.;HR Operations Task: manual override
 Hello HR team, I get an info from Chronos that vacation next year can only be done in the 4th quarter, although it has;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hallo. Es ist immer noch nicht möglich den Urlaub für n�chsten Januar zu buchen. Ich möchte mit meinenUrlaubsanspruch lange Weihnachtsferien planen. Es ist nicht möglich im System.  ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hallo, ich habe für komplett Gleitzeit in Cronos eingetragen. Es kann jedoch sein, das ich in der Woche 2 Tage arbeiten werde. Gibt es etwas zu beachten, wenn ich in der Woche die Erfassungs Art von Gleitzeit auf mobile Arbeit �ndere?;"Prinzipiell m�sstest du den Gleitzeittag einfach umwandeln k�nnen. Es ist nur wichtig zu beachten, dass du keine Gleitzeit zur�ck bekommst, solltest du in krankheitsbedingt ausfallen:

""Bitte beachte, dass kein rechtlicher Anspruch auf die Gutschrift von Stunden besteht, sofern du an einem vorher beantragten Gleitzeittag erkrankst. Folglich werden dir die Stunden nicht wieder gutgeschrieben.""

Sick leave - Cariad Net - Group Wiki (vw.vwg)"
 Unfortunatly I am not able to open the Chronos Site;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 I had days of Annual Leaves shown in Chronos till last week but this week it has become 0 days. I have already planned for  leave in December and it is approved. Please correct my annual leaves entitelment in Chronos.  ;HR Operations Task: check mismatch annual leave days
 Hallo, ich versuche schon seit einigen Tagen, meine Mobile Arbeit in eine Reise zu ändern. In  kommt aber immer der Fehler, dass das nicht funktioniert. Gibt es aktuell einen bug in ?   ;HR Operations Task: manual override
 Hallo, gerne würde ich die Geburturkunde meines Kindes als Nachweis für die in Chronos eingetragene anlassbezogene Freistellung einreichen. Wo kann ich dies bitte tun? ;"Hi, die Geburtsurkunde l�dst du �ber das ServiceHub unter ""Hand in of Documents"" hoch. Da gibt es einen Document Type, der sich ""Geburtsurkunde Kind(er)"" nennt. In Chronos hinterlegst du bitte ""anlassbezogene Freistellung""."
still shows 10 remaining vacation days from last year even though I have used all my days in last year. Can you please fix this.  thanks, ;HR Operations Task: check mismatch annual leave days
 Dear service desk colleagues,  Since some days I can´t access the system.;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo Zusammen normalerweise werden max. 10 Urlaubstage ins neue Jahr übertragen, darüber hinausgehende Tage verfallen.  Früher gab es jedoch im VW Konzern die Möglichkeit, dass mehr als 10 Tage übertragen werden konnten, wenn der Urlaub bereits im alten Jahr angetreten und über den Jahreswechsel hinaus genommen wurde. Ich möchte wissen ob diese Regelung weiterhin gilt. ;"Hi, die Urlaubsregelungen sind bei uns im HTV geregelt: prinzipiell kannst du max. 10 Tage mit ins Folgejahr nehmen:
""Gem�� HTV CARIAD kannst du maximal 10 Tage Resturlaub in das Folgejahr �bertragen. Diese verfallen dann zum 31.12.""

FAQ Annual leave - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hi, when I click the link now, I get a “failed to find server” message. https://hr.portal.prd.eu.bp.aws.cloud.vwgroup.com/time-management/  ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Dear Sir or Madame, whenever I try to set dienstreise into Chronos I get message that system cannot make any changes and I should try it later. Later same issue - waiting didnt help. The dienstreise is registered in Cytric. ;HR Operations Task: manual override
 Dear Sir or Madam,  today I have tried to plan my absences for next year, however it seems that holidays for next year can not yet be planned and are not in the system.  I receive the following error message: “Dein Antrag benötigt 2 Tage, du hast jedoch nur noch 0 Tage zur Verfügung.” Could you please provide me with feedback when we can start planning absences for 2025?  ;"Hi, die Urlaubsregelungen sind bei uns im HTV geregelt: prinzipiell kannst du max. 10 Tage mit ins Folgejahr nehmen:
""Gem�� HTV CARIAD kannst du maximal 10 Tage Resturlaub in das Folgejahr �bertragen. Diese verfallen dann zum 31.12.""

FAQ Annual leave - Cariad Net - Group Wiki (volkswagen-net.de)"
 I am getting this  when trying to access Chronos. This is regardless of which browser (Edge / Firefox).  ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo zusammen,  am ist bei mir in Chronos Urlaub eingetragen, offiziell ist das aber kein Arbeitstag bei mir. Kann dieser bitte noch entfernt werden?  ;HR Operations Task: working time model is defined in SAP as leading and needs to be changed
 Als Schwerbehinderter stehen mir 5 zusätzliche Urlaubstage zu, diese werden nicht angezeigt.  ;Autoresponse: SB / Schwerbehindertenurlaub should never be asked as part of ticket system
 Hi zusammen, ich hatte initial geplant abwesend zu sein (Teils Gleitzeit teils Tarifurlaub), nun habe ich eine Schulung mit Prüfung Vor Ort bekommen und unterbreche dafür meine Abwesenheit aus eigenem Wunsch. Chronos  lässt mich nun aber keine Dienstreise eintragen. Ich glaube hier ist im Hintergrund irgendwas durcheinander gegangen. Ich bitte um Hilfe Dienstreise Inland einzutragen. ;HR Operations Task: manual override
